"Id";;"Editeur";"Collection/Ref";"Lang";"Titre";"Auteur";"Année";"ISBN";"Image";"URL"
260;"G3";"Louis Audibert ";;"FR";"À la recherche du Moyen-Âge";"Jacques Le Goff";2003;2847490256;"http://images-eu.amazon.com/images/P/2847490256.08.MZZZZZZZ.jpg";"http://www.amazon.fr/gp/product/2847490256/ref=ase_enef-21/402-5551720-9281739"
261;"G3";"Armand Colin";;"FR";"L'Art religieux du XIIe siècle en France: étude sur les origines de l'iconographie du Moyen âge,";"Emile Mâle";1998;2200017189;"http://images-eu.amazon.com/images/P/2200017189.08.MZZZZZZZ.jpg";"http://www.amazon.fr/gp/product/2200017189/ref=ase_enef-21/402-5551720-9281739"
262;"G3";"Flammarion";;"FR";"La Bible et les saints";"Gaston Duchet-Suchaux, Michel Pastoureau";1999;2080122568;"http://images-eu.amazon.com/images/P/2080122568.08.MZZZZZZZ.jpg";"http://www.amazon.fr/gp/product/2080122568/ref=ase_enef-21/402-5551720-9281739"
263;"G3";"Bibliothèque de l'image";;"FR";"Encyclopédie Médiévale";"Eugene Viollet Le Duc";1999;2909808610;"http://www.alapage.com/get_img.php?cgi=livre_l&ref=l_isbn&num_ref=2909808610l";"http://www.alapage.com/mx/?type=1&tp=F&donnee_appel=PIEWI&l_isbn=9782909808611"
264;"G3";"Duculot";;"FR";"A la découverte de 850 Eglises romanes de France";"André Verrassel";1985;2801105554;;
265;"G2";"Presses Universitaires de France";;"FR";"L'art des sculpteurs Romans";"Henri Focillon";1995;2130420478;"http://images-eu.amazon.com/images/P/2130420478.08.MZZZZZZZ.jpg";"http://www.amazon.fr/gp/product/2130420478/ref=ase_enef-21/402-5551720-9281739"
266;"G2";"CIER";;"FR";"Bestiaire roman ";"Gaston Duchet-Suchaux";1992;;"http://www.art-roman.org/images/livre2.jpg";"http://www.art-roman.org/editcier.htm"
267;"G2";"Christian Pirot";;"FR";"La Sculpture romane en Saintonge";"Jacques Lacoste";1998;2868081053;"http://images-eu.amazon.com/images/P/2868081053.08.MZZZZZZZ.jpg";"http://www.amazon.fr/gp/product/2868081053/ref=ase_enef-21/402-5551720-9281739"
268;;;;;;;;;;
269;;;;;;;;;;
270;;;;;;;;;;
271;;;;;;;;;;
272;;;;;;;;;;
273;;;;;;;;;;
274;;;;;;;;;;
275;;;;;;;;;;
276;;;;;;;;;;
277;;;;;;;;;;
278;;;;;;;;;;
279;;;;;;;;;;
280;;;;;;;;;;
281;;;;;;;;;;
282;;;;;;;;;;
283;;;;;;;;;;
284;;;;;;;;;;
285;;;;;;;;;;
286;;;;;;;;;;
287;;;;;;;;;;
288;;;;;;;;;;
289;;;;;;;;;;
290;;;;;;;;;;
291;;;;;;;;;;
292;;;;;;;;;;
293;;;;;;;;;;
294;;;;;;;;;;
295;;;;;;;;;;
296;;;;;;;;;;
297;;;;;;;;;;
298;;;;;;;;;;
299;;;;;;;;;;
